epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1725.05,0.97831,0.61283,1.04713,0.81204,0.81316,0.84178,0.58431,1.09654,0.80108,1.13522,0.00021785,0.00021785,0.00021785
59,1755.19,0.97728,0.60392,1.04488,0.81291,0.82201,0.83828,0.58305,1.09324,0.78988,1.11559,0.0002129,0.0002129,0.0002129
60,1785.43,0.96451,0.5949,1.0426,0.82291,0.80195,0.83387,0.58443,1.1079,0.80591,1.13549,0.00020795,0.00020795,0.00020795
61,1815.59,0.97792,0.60336,1.04762,0.81706,0.8272,0.83857,0.58368,1.09307,0.77718,1.12841,0.000203,0.000203,0.000203
62,1846.14,0.97032,0.59544,1.04265,0.82497,0.8181,0.83857,0.58582,1.10376,0.78689,1.13426,0.00019805,0.00019805,0.00019805
63,1876.22,0.96254,0.591,1.04406,0.81592,0.81058,0.83334,0.57641,1.12969,0.80612,1.14116,0.0001931,0.0001931,0.0001931
64,1906.29,0.95571,0.58859,1.04065,0.82279,0.82802,0.8328,0.57845,1.10012,0.78651,1.12857,0.00018815,0.00018815,0.00018815
65,1936.36,0.96259,0.58633,1.03904,0.82801,0.82321,0.84273,0.5882,1.10109,0.78333,1.1317,0.0001832,0.0001832,0.0001832
66,1966.64,0.95356,0.58315,1.03776,0.83411,0.80607,0.83264,0.5835,1.09578,0.79638,1.1311,0.00017825,0.00017825,0.00017825
67,1996.73,0.94924,0.57717,1.03324,0.82339,0.82502,0.84263,0.59122,1.08942,0.77926,1.12417,0.0001733,0.0001733,0.0001733
68,2026.94,0.93797,0.57246,1.03205,0.82365,0.81728,0.83655,0.58224,1.1059,0.79763,1.14339,0.00016835,0.00016835,0.00016835
69,2057.42,0.94257,0.57252,1.03151,0.80907,0.82047,0.82557,0.57478,1.0988,0.80674,1.1391,0.0001634,0.0001634,0.0001634
70,2087.38,0.93645,0.56687,1.03023,0.82191,0.81479,0.83232,0.5814,1.10525,0.78843,1.13204,0.00015845,0.00015845,0.00015845
71,2116.61,0.93997,0.57437,1.03301,0.81643,0.8178,0.83178,0.58323,1.10816,0.80609,1.14484,0.0001535,0.0001535,0.0001535
72,2145.94,0.94117,0.57047,1.03363,0.81724,0.8202,0.83452,0.58469,1.10214,0.79711,1.13941,0.00014855,0.00014855,0.00014855
73,2175.59,0.92449,0.56356,1.02699,0.8109,0.83029,0.83518,0.5835,1.10767,0.7954,1.14732,0.0001436,0.0001436,0.0001436
74,2204.78,0.93458,0.56551,1.02743,0.83118,0.80823,0.83926,0.59025,1.09998,0.79044,1.14173,0.00013865,0.00013865,0.00013865
75,2234.73,0.91858,0.55492,1.02272,0.82388,0.80871,0.83282,0.58079,1.10909,0.79718,1.13994,0.0001337,0.0001337,0.0001337
76,2264.93,0.9197,0.55452,1.02216,0.8214,0.81166,0.83492,0.58303,1.10622,0.7973,1.1477,0.00012875,0.00012875,0.00012875
77,2295.27,0.89732,0.54419,1.01333,0.8178,0.8169,0.83368,0.58134,1.12235,0.80906,1.14777,0.0001238,0.0001238,0.0001238
78,2326.08,0.90613,0.54695,1.01663,0.82888,0.81118,0.8325,0.58131,1.10935,0.80319,1.14007,0.00011885,0.00011885,0.00011885
79,2356.41,0.90922,0.54989,1.02114,0.83422,0.79826,0.83376,0.58238,1.11249,0.81073,1.15107,0.0001139,0.0001139,0.0001139
80,2387.96,0.90708,0.54607,1.01876,0.81493,0.82478,0.83511,0.58085,1.10858,0.78889,1.15091,0.00010895,0.00010895,0.00010895
81,2418.92,0.91042,0.54965,1.01817,0.81218,0.82983,0.8342,0.58019,1.10442,0.80183,1.14114,0.000104,0.000104,0.000104
82,2447.43,0.90242,0.54127,1.01559,0.81874,0.8193,0.83712,0.58422,1.10677,0.79665,1.14335,9.905e-05,9.905e-05,9.905e-05
83,2475.84,0.8966,0.5378,1.01369,0.8253,0.8178,0.83955,0.58718,1.09868,0.79182,1.13711,9.41e-05,9.41e-05,9.41e-05
84,2504.53,0.88952,0.53299,1.00993,0.82295,0.82141,0.8393,0.58823,1.09363,0.79191,1.13153,8.915e-05,8.915e-05,8.915e-05
85,2533.74,0.88821,0.53061,1.0055,0.83304,0.80406,0.83426,0.58347,1.09364,0.80251,1.13379,8.42e-05,8.42e-05,8.42e-05
86,2563.02,0.88596,0.52514,1.00625,0.8294,0.81449,0.83487,0.58456,1.10131,0.7969,1.13901,7.925e-05,7.925e-05,7.925e-05
87,2591.41,0.88576,0.53032,1.00648,0.83284,0.81329,0.83403,0.58157,1.1054,0.80206,1.14075,7.43e-05,7.43e-05,7.43e-05
88,2620.4,0.87864,0.52387,1.00559,0.83845,0.80126,0.83306,0.58163,1.10138,0.80637,1.14141,6.935e-05,6.935e-05,6.935e-05
89,2650.09,0.88273,0.53014,1.00513,0.82857,0.80941,0.83296,0.58156,1.0995,0.81618,1.14068,6.44e-05,6.44e-05,6.44e-05
90,2679.37,0.88073,0.52518,1.00544,0.81346,0.81946,0.82875,0.57962,1.09892,0.81519,1.1374,5.945e-05,5.945e-05,5.945e-05
91,2709.56,0.78409,0.41498,0.95212,0.81899,0.81756,0.82954,0.57558,1.10199,0.80266,1.14324,5.45e-05,5.45e-05,5.45e-05
92,2739.32,0.77131,0.40334,0.94926,0.81939,0.82141,0.83279,0.57867,1.11002,0.79544,1.15255,4.955e-05,4.955e-05,4.955e-05
93,2768.51,0.76868,0.40082,0.94307,0.81892,0.82381,0.8324,0.5781,1.10862,0.80305,1.15082,4.46e-05,4.46e-05,4.46e-05
94,2797.15,0.7616,0.39239,0.94228,0.82756,0.81524,0.83534,0.58388,1.10818,0.80478,1.14817,3.965e-05,3.965e-05,3.965e-05
95,2826.06,0.75589,0.38926,0.94196,0.82973,0.81313,0.83199,0.58165,1.10677,0.80728,1.14781,3.47e-05,3.47e-05,3.47e-05
96,2855.37,0.75231,0.39055,0.94109,0.83473,0.80878,0.83384,0.58524,1.10351,0.80498,1.1471,2.975e-05,2.975e-05,2.975e-05
97,2884.16,0.75094,0.38713,0.94034,0.83347,0.80808,0.83601,0.58491,1.10474,0.80432,1.14586,2.48e-05,2.48e-05,2.48e-05
98,2913.31,0.7479,0.38463,0.94102,0.83594,0.81044,0.8349,0.58479,1.10535,0.80236,1.14784,1.985e-05,1.985e-05,1.985e-05
99,2942.69,0.74136,0.38471,0.93389,0.82983,0.81519,0.83364,0.58426,1.1078,0.80556,1.15043,1.49e-05,1.49e-05,1.49e-05
100,2971.92,0.73738,0.38131,0.93395,0.82977,0.8166,0.83507,0.58531,1.10942,0.80639,1.15079,9.95e-06,9.95e-06,9.95e-06
